State_Name,State_Abbreviation,State_FIPS,2013_Part_ D_Prescribers,2013_Part_Opioid_Prescribers,2013_Opioid Claims,2013_Extended_Release_Opioid_Claims,2013_Overall_Claims,2013_Opioid_Prescribing_Rate,2013_Extended_Release_Opioid_Prescribing_Rate,2014_Part_ D_Prescribers,2014_Part D_Opioid_Prescribers,2014_Opioid_Claims,2014_Extended_Release_Opioid_Claims,2014_Overall_Claims,2014_Opioid_Prescribing_Rate,2014_Extended_Release_Opioid_Prescribing_Rate,2015_Part D Prescribers,2015_Part D Opioid Prescribers,2015_Opioid Claims,2015_Extended Release Opioid Claims,2015_Overall_Claims,2015_Opioid_Prescribing_Rate,2015_Extended_Release_Opioid_Prescribing_ Rate,2013_2015_Change_in_Opioid_Prescribing_Rate,2013_2015_Change_in_Extended_Release_Opioid_Prescribing_Rate ,
National,,,,"1,037,770","491,500","78,045,683","4,773,286","1,342,096,654",5.82,6.12,"1,061,372","498,665","79,645,620","4,994,071","1,386,374,879",5.74,6.27,"1,090,979","496,383","78,372,855","5,257,481","1,418,618,875",5.52,6.71,-0.30,0.59
Alabama,AL,Autauga,01001,67,44,"20,482",979,"208,936",9.8,4.78,67,46,"20,355","1,190","209,310",9.72,5.85,68,43,"15,998","1,159","198,347",8.07,7.24,-1.73,2.46
Alabama,AL,Baldwin,01003,409,268,"82,569","6,382","903,382",9.14,7.73,427,278,"81,889","6,061","905,734",9.04,7.4,440,256,"82,086","6,380","925,511",8.87,7.77,-0.27,0.04
Alabama,AL,Barbour,01005,33,27,"8,935",203,"142,307",6.28,2.27,34,25,"7,710",235,"134,404",5.74,3.05,33,24,"5,818",229,"129,152",4.5,3.94,-1.78,1.67
Alabama,AL,Bibb,01007,16,9,"1,566",30,"39,332",3.98,1.92,21,11,"1,865",92,"39,451",4.73,4.93,34,13,"1,625",48,"41,253",3.94,2.95,-0.04,1.03
Alabama,AL,Blount,01009,28,22,"9,778",167,"159,803",6.12,1.71,27,22,"9,769",149,"158,539",6.16,1.53,28,21,"8,783",76,"147,552",5.95,0.87,-0.17,-0.84
Alabama,AL,Bullock,01011,10,5,"1,702",19,"45,451",3.74,1.12,9,6,"1,738",41,"44,750",3.88,2.36,10,6,"2,018",38,"42,465",4.75,1.88,1.01,0.76
Alabama,AL,Butler,01013,35,27,"9,522",100,"116,291",8.19,1.05,35,26,"9,360",188,"108,580",8.62,2.01,36,23,"6,869",146,"98,387",6.98,2.13,-1.21,1.08
Alabama,AL,Calhoun,01015,276,173,"54,649","2,999","684,468",7.98,5.49,278,178,"54,179","2,939","667,723",8.11,5.42,271,158,"50,348","2,434","650,506",7.74,4.83,-0.24,-0.66
Alabama,AL,Chambers,01017,36,32,"13,724",849,"172,362",7.96,6.19,37,28,"12,542",753,"159,525",7.86,6,37,25,"11,244",658,"147,518",7.62,5.85,-0.34,-0.34
