State_Name,State_Abbreviation,State_FIPS,2013_Part_ D_Prescribers,2013_Part_Opioid_Prescribers,2013_Opioid Claims,2013_Extended_Release_Opioid_Claims,2013_Overall_Claims,2013_Opioid_Prescribing_Rate,2013_Extended_Release_Opioid_Prescribing_Rate,2014_Part_ D_Prescribers,2014_Part D_Opioid_Prescribers,2014_Opioid_Claims,2014_Extended_Release_Opioid_Claims,2014_Overall_Claims,2014_Opioid_Prescribing_Rate,2014_Extended_Release_Opioid_Prescribing_Rate,2015_Part D Prescribers,2015_Part D Opioid Prescribers,2015_Opioid Claims,2015_Extended Release Opioid Claims,2015_Overall_Claims,2015_Opioid_Prescribing_Rate,2015_Extended_Release_Opioid_Prescribing_ Rate,2013_2015_Change_in_Opioid_Prescribing_Rate,2013_2015_Change_in_Extended_Release_Opioid_Prescribing_Rate 
National,,,"1,037,770","491,500","78,045,683","4,773,286","1,342,096,654",5.82,6.12,"1,061,372","498,665","79,645,620","4,994,071","1,386,374,879",5.74,6.27,"1,090,979","496,383","78,372,855","5,257,481","1,418,618,875",5.52,6.71,-0.30,0.59
Alabama,AL,01,"12,820","7,422","2,260,284","118,523","29,160,952",7.75,5.24,"13,100","7,429","2,267,090","118,705","28,852,731",7.86,5.24,"13,492","6,980","2,179,506","121,061","28,898,258",7.54,5.55,-0.21,0.31
Alaska,AK,02,"2,275","1,099","86,517","8,602","1,281,057",6.75,9.94,"2,293","1,098","93,606","9,768","1,384,451",6.76,10.44,"2,342","1,067","89,275","9,509","1,339,671",6.66,10.65,-0.09,0.71
Arizona,AZ,04,"20,542","10,510","1,545,138","151,086","22,126,421",6.98,9.78,"21,253","10,837","1,639,782","160,343","23,454,968",6.99,9.78,"21,833","10,992","1,649,600","169,215","24,315,477",6.78,10.26,-0.2,0.48
Arkansas,AR,05,"7,909","4,700","1,128,356","57,519","16,759,116",6.73,5.1,"8,010","4,767","1,147,588","59,339","17,302,231",6.63,5.17,"8,327","4,714","1,132,475","63,261","17,786,636",6.37,5.59,-0.36,0.49
California,CA,06,"109,571","49,671","7,228,782","474,288","131,858,055",5.48,6.56,"111,395","50,565","7,341,527","497,013","134,384,068",5.46,6.77,"114,109","50,495","7,054,114","523,120","135,887,329",5.19,7.42,-0.29,0.86
Colorado,CO,08,"17,270","8,814","1,084,129","89,225","14,414,446",7.52,8.23,"18,116","9,257","1,158,348","94,317","15,687,094",7.38,8.14,"18,913","9,450","1,182,507","102,465","16,324,742",7.24,8.67,-0.28,0.44
Connecticut,CT,09,"16,017","6,306","671,688","36,924","14,868,708",4.52,5.5,"16,506","6,471","687,547","39,326","15,278,979",4.5,5.72,"16,842","6,475","685,665","40,701","15,968,637",4.29,5.94,-0.23,0.44
Delaware,DE,10,"3,205","1,568","233,078","20,044","3,539,422",6.59,8.6,"3,270","1,578","236,966","22,771","3,633,781",6.52,9.61,"3,359","1,619","239,058","24,792","3,783,214",6.32,10.37,-0.27,1.77
District of Columbia,DC,11,"4,324","1,299","81,482","3,371","1,882,475",4.33,4.14,"4,503","1,411","85,536","3,291","1,975,871",4.33,3.85,"4,603","1,422","83,138","3,406","2,016,527",4.12,4.1,-0.21,-0.04
Florida,FL,12,"61,030","28,295","5,246,555","386,927","100,554,511",5.22,7.37,"63,155","28,567","5,447,999","411,621","103,503,755",5.26,7.56,"65,667","26,674","5,470,983","448,033","105,842,279",5.17,8.19,-0.05,0.82
Georgia,GA,13,"25,626","13,627","2,703,771","146,511","41,159,612",6.57,5.42,"26,471","13,485","2,763,178","154,065","43,784,129",6.31,5.58,"27,344","13,298","2,758,341","162,758","45,658,642",6.04,5.9,-0.53,0.48
Hawaii,HI,15,"4,052","1,696","176,305","14,768","4,534,238",3.89,8.38,"4,070","1,669","169,043","13,896","4,405,441",3.84,8.22,"4,142","1,659","160,561","13,913","4,199,272",3.82,8.67,-0.07,0.29
Idaho,ID,16,"4,752","2,672","435,716","36,885","5,626,385",7.74,8.47,"4,877","2,732","444,560","38,307","5,747,660",7.73,8.62,"5,098","2,830","450,912","40,768","6,056,262",7.45,9.04,-0.29,0.57
Illinois,IL,17,"41,758","17,959","2,292,480","79,850","45,989,415",4.98,3.48,"43,078","18,502","2,398,636","84,990","49,327,707",4.86,3.54,"44,282","18,776","2,390,792","92,302","50,853,115",4.7,3.86,-0.28,0.38
Indiana,IN,18,"19,371","10,646","2,125,966","132,277","30,715,474",6.92,6.22,"19,897","10,647","2,099,838","134,728","31,639,305",6.64,6.42,"20,458","10,600","2,053,960","133,025","32,451,222",6.33,6.48,-0.59,0.26
Iowa,IA,19,"9,767","4,881","805,242","38,698","16,449,820",4.9,4.81,"10,064","4,941","798,064","38,338","16,511,701",4.83,4.8,"10,327","5,148","781,495","41,543","16,759,552",4.66,5.32,-0.24,0.51
Kansas,KS,20,"9,120","4,870","860,248","52,083","13,509,503",6.37,6.05,"9,374","4,964","874,402","53,951","13,749,117",6.36,6.17,"9,567","5,018","849,401","56,689","14,065,493",6.04,6.67,-0.33,0.62
Kentucky,KY,21,"14,341","6,636","1,763,873","76,177","28,344,069",6.22,4.32,"14,677","6,821","1,750,550","76,907","29,148,186",6.01,4.39,"15,138","6,870","1,710,346","79,065","29,914,453",5.72,4.62,-0.5,0.3
Louisiana,LA,22,"14,819","7,690","1,559,052","67,275","24,543,937",6.35,4.32,"15,217","7,837","1,566,429","69,736","25,210,469",6.21,4.45,"15,591","7,793","1,519,230","74,561","25,988,018",5.85,4.91,-0.5,0.59
Maine,ME,23,"5,821","3,101","425,795","31,934","6,734,423",6.32,7.5,"5,885","3,109","427,909","34,624","6,866,323",6.23,8.09,"5,959","3,044","406,289","36,113","6,830,588",5.95,8.89,-0.37,1.39
Maryland,MD,24,"21,071","8,808","939,000","76,842","15,527,000",6.05,8.18,"21,535","9,076","1,035,891","87,394","17,032,592",6.08,8.44,"22,273","9,214","1,065,791","97,676","18,018,009",5.92,9.16,-0.13,0.98
Massachusetts,MA,25,"32,791","13,525","1,331,244","92,833","29,692,855",4.48,6.97,"33,379","13,610","1,356,186","95,764","30,887,045",4.39,7.06,"34,082","13,695","1,331,669","97,741","31,788,260",4.19,7.34,-0.29,0.37
Michigan,MI,26,"37,873","19,156","3,328,161","203,594","44,484,022",7.48,6.12,"38,696","19,735","3,425,448","218,604","46,424,478",7.38,6.38,"39,759","19,579","3,367,892","230,689","48,090,950",7,6.85,-0.48,0.73
Minnesota,MN,27,"19,975","9,580","1,082,073","53,655","20,486,240",5.28,4.96,"20,272","9,754","1,104,474","56,110","20,745,962",5.32,5.08,"20,605","9,808","1,080,980","60,384","21,158,492",5.11,5.59,-0.17,0.63
Mississippi,MS,28,"8,334","4,772","1,101,786","40,151","17,156,476",6.42,3.64,"8,420","4,795","1,092,107","41,766","17,508,059",6.24,3.82,"8,615","4,847","1,083,075","45,122","17,966,723",6.03,4.17,-0.39,0.53
Missouri,MO,29,"19,807","9,927","2,039,124","106,426","33,203,868",6.14,5.22,"20,200","10,016","2,097,931","111,184","34,719,914",6.04,5.3,"20,614","9,449","2,036,536","114,590","35,613,521",5.72,5.63,-0.42,0.41
Montana,MT,30,"3,376","1,886","268,035","19,721","3,932,526",6.82,7.36,"3,484","1,907","266,285","19,172","3,940,215",6.76,7.2,"3,676","1,925","263,562","21,345","3,979,395",6.62,8.1,-0.2,0.74
Nebraska,NE,31,"6,311","3,086","454,065","22,346","8,918,769",5.09,4.92,"6,491","3,209","458,491","22,035","9,133,012",5.02,4.81,"6,650","3,205","446,178","25,095","9,292,382",4.8,5.62,-0.29,0.7
Nevada,NV,32,"6,711","3,671","681,809","71,293","8,375,492",8.14,10.46,"6,971","3,763","693,911","72,510","8,711,501",7.97,10.45,"7,258","3,853","697,046","74,180","9,105,288",7.66,10.64,-0.48,0.18
New Hampshire,NH,33,"5,392","2,638","293,762","27,100","4,715,579",6.23,9.23,"5,543","2,688","304,997","28,169","5,012,266",6.09,9.24,"5,701","2,742","310,252","28,857","5,430,201",5.71,9.3,-0.52,0.07
New Jersey,NJ,34,"29,842","12,402","1,447,669","67,636","33,893,274",4.27,4.67,"30,025","12,574","1,480,126","72,975","34,487,869",4.29,4.93,"30,655","12,549","1,480,360","84,868","35,371,464",4.19,5.73,-0.08,1.06
New Mexico,NM,35,"6,785","3,316","442,975","29,782","6,806,411",6.51,6.72,"6,870","3,302","451,302","29,725","6,913,692",6.53,6.59,"7,076","3,411","466,970","30,970","7,214,857",6.47,6.63,-0.04,-0.09
New York,NY,36,"85,843","29,614","2,804,472","156,225","90,299,993",3.11,5.57,"86,814","29,096","2,800,496","165,199","93,020,253",3.01,5.9,"89,057","29,247","2,890,598","179,595","94,645,422",3.05,6.21,-0.06,0.64
North Carolina,NC,37,"32,095","17,525","3,204,555","205,781","50,627,019",6.33,6.42,"32,599","17,779","3,285,075","217,035","52,260,758",6.29,6.61,"33,517","17,927","3,220,983","225,592","52,833,292",6.1,7,-0.23,0.58
North Dakota,ND,38,"2,661","1,373","164,414","7,719","3,569,815",4.61,4.69,"2,726","1,384","166,071","7,952","3,560,066",4.66,4.79,"2,777","1,374","163,208","8,608","3,568,672",4.57,5.27,-0.04,0.58
Ohio,OH,39,"40,658","20,099","3,447,253","173,332","59,188,821",5.82,5.03,"41,663","20,479","3,428,041","166,439","60,731,399",5.64,4.86,"42,807","20,581","3,319,338","171,760","62,192,577",5.34,5.17,-0.48,0.14
Oklahoma,OK,40,"10,961","6,222","1,298,037","81,008","16,715,340",7.77,6.24,"11,283","6,204","1,291,247","87,834","17,035,559",7.58,6.8,"11,579","6,065","1,286,402","91,388","17,238,423",7.46,7.1,-0.31,0.86
Oregon,OR,41,"14,846","7,789","1,206,329","127,031","15,991,490",7.54,10.53,"15,096","7,981","1,235,479","128,684","16,426,334",7.52,10.42,"15,687","8,107","1,213,171","125,967","16,755,437",7.24,10.38,-0.3,-0.15
Pennsylvania,PA,42,"52,450","23,292","3,530,705","208,705","70,368,649",5.02,5.91,"53,490","23,712","3,615,392","220,286","71,870,231",5.03,6.09,"54,835","23,822","3,572,229","236,520","72,959,876",4.9,6.62,-0.12,0.71
Rhode Island,RI,44,"4,705","2,121","254,915","9,243","6,146,170",4.15,3.63,"4,690","2,095","243,603","9,343","6,229,455",3.91,3.84,"4,828","2,105","228,945","10,522","6,198,793",3.69,4.6,-0.46,0.97
South Carolina,SC,45,"13,481","7,594","1,439,682","66,192","21,065,787",6.83,4.6,"14,142","7,968","1,577,730","74,576","24,651,558",6.4,4.73,"14,598","7,887","1,535,410","79,955","25,373,738",6.05,5.21,-0.78,0.61
South Dakota,SD,46,"3,028","1,563","209,426","9,869","4,031,023",5.2,4.71,"3,088","1,602","212,093","10,447","4,054,596",5.23,4.93,"3,149","1,611","209,573","11,607","4,105,600",5.1,5.54,-0.1,0.83
Tennessee,TN,47,"22,487","12,577","2,875,441","242,123","38,952,468",7.38,8.42,"23,034","12,802","2,934,226","253,943","39,982,186",7.34,8.65,"23,747","12,979","2,923,689","257,474","40,835,938",7.16,8.81,-0.22,0.39
Texas,TX,48,"64,951","32,057","5,182,878","197,616","85,014,761",6.1,3.81,"66,920","32,212","5,220,348","210,315","87,448,038",5.97,4.03,"69,117","31,010","4,940,518","227,909","89,482,853",5.52,4.61,-0.58,0.8
Utah,UT,49,"7,907","3,857","522,285","42,585","6,776,450",7.71,8.15,"7,980","3,901","544,356","45,708","6,976,992",7.8,8.4,"8,268","4,059","567,431","49,542","7,449,665",7.62,8.73,-0.09,0.58
Vermont,VT,50,"2,485","1,171","144,746","15,228","2,442,569",5.93,10.52,"2,550","1,209","152,713","16,013","2,566,480",5.95,10.49,"2,588","1,207","150,903","16,270","2,666,266",5.66,10.78,-0.27,0.26
Virginia,VA,51,"24,227","11,824","1,711,665","88,604","28,694,212",5.97,5.18,"24,844","12,102","1,743,661","91,487","29,802,837",5.85,5.25,"25,331","12,049","1,700,345","95,751","30,569,766",5.56,5.63,-0.41,0.45
