State_Name,State_Abbreviation,State_FIPS,2013_Part_ D_Prescribers,2013_Part_Opioid_Prescribers,2013_Opioid Claims,2013_Extended_Release_Opioid_Claims,2013_Overall_Claims,2013_Opioid_Prescribing_Rate,2013_Extended_Release_Opioid_Prescribing_Rate,2014_Part_ D_Prescribers,2014_Part D_Opioid_Prescribers,2014_Opioid_Claims,2014_Extended_Release_Opioid_Claims,2014_Overall_Claims,2014_Opioid_Prescribing_Rate,2014_Extended_Release_Opioid_Prescribing_Rate,2015_Part D Prescribers,2015_Part D Opioid Prescribers,2015_Opioid Claims,2015_Extended Release Opioid Claims,2015_Overall_Claims,2015_Opioid_Prescribing_Rate,2015_Extended_Release_Opioid_Prescribing_ Rate,2013_2015_Change_in_Opioid_Prescribing_Rate,2013_2015_Change_in_Extended_Release_Opioid_Prescribing_Rate 
National,,,"1,037,770","491,500","78,045,683","4,773,286","1,342,096,654",5.82,6.12,"1,061,372","498,665","79,645,620","4,994,071","1,386,374,879",5.74,6.27,"1,090,979","496,383","78,372,855","5,257,481","1,418,618,875",5.52,6.71,-0.30,0.59
Alabama,AL,35004,18,9,"1,340",19,"18,632",7.19,1.42,16,9,"1,525",96,"15,707",9.71,6.3,17,7,"1,340",39,"16,830",7.96,2.91,0.77,1.49
Alabama,AL,35005,6,5,"2,010",207,"35,781",5.62,10.3,6,5,"2,049",208,"34,440",5.95,10.15,5,4,"2,173",189,"38,074",5.71,8.7,0.09,-1.6
Alabama,AL,35007,117,69,"18,923","1,504","252,187",7.5,7.95,120,69,"17,052","1,174","240,394",7.09,6.88,121,64,"16,898","1,120","245,449",6.88,6.63,-0.62,-1.32
Alabama,AL,35010,66,39,"13,575",379,"254,427",5.34,2.79,63,38,"12,435",247,"252,939",4.92,1.99,67,35,"12,267",254,"265,796",4.62,2.07,-0.72,-0.72
Alabama,AL,35016,18,12,"3,582",23,"80,569",4.45,0.64,16,12,"3,540",28,"81,273",4.36,0.79,15,10,"2,646",40,"65,220",4.06,1.51,-0.39,0.87
Alabama,AL,35020,22,16,"2,259",28,"34,543",6.54,1.24,27,20,"3,188",45,"42,822",7.44,1.41,33,19,"3,193",56,"51,053",6.25,1.75,-0.29,0.51
Alabama,AL,35022,79,51,"27,255",865,"344,609",7.91,3.17,82,54,"23,971",638,"309,826",7.74,2.66,77,45,"21,145",530,"292,539",7.23,2.51,-0.68,-0.66
Alabama,AL,35023,20,15,"6,536",285,"100,019",6.53,4.36,20,14,"6,568",303,"95,549",6.87,4.61,19,12,"6,099",240,"95,940",6.36,3.94,-0.17,-0.42
Alabama,AL,35031,3,3,784,0,"12,761",6.14,0,3,2,710,0,"13,121",5.41,0,2,2,599,0,"12,663",4.73,0,-1.41,0
Alabama,AL,35035,1,1,72,0,295,24.41,0,1,1,53,0,246,21.54,0,2,2,76,0,306,24.84,0,0.43,0
Alabama,AL,35040,17,14,"5,932",178,"76,110",7.79,3,16,11,"5,628",177,"70,720",7.96,3.14,22,13,"10,652",475,"123,760",8.61,4.46,0.82,1.46
Alabama,AL,35042,13,7,"1,444",30,"38,896",3.71,2.08,18,9,"1,781",92,"39,092",4.56,5.17,26,9,"1,389",48,"36,129",3.84,3.46,0.13,1.38
Alabama,AL,35043,6,3,84,0,487,17.25,0,6,4,106,0,"1,067",9.93,0,8,3,103,0,886,11.63,0,-5.62,0
Alabama,AL,35044,10,7,"1,852",26,"35,632",5.2,1.4,10,7,"1,574",28,"32,631",4.82,1.78,10,6,"1,597",25,"33,721",4.74,1.57,-0.46,0.17
Alabama,AL,35045,33,26,"9,679",94,"142,339",6.8,0.97,31,24,"9,510",67,"131,821",7.21,0.7,32,22,"10,295",83,"122,572",8.4,0.81,1.6,-0.16
Alabama,AL,35046,1,0,0,0,14,0,0,,,,,,,,,,,,,,,,
Alabama,AL,35049,1,1,727,0,"18,112",4.01,0,1,1,741,0,"17,864",4.15,0,2,1,642,0,"17,085",3.76,0,-0.25,0
