,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Death Rate
0,< 1 year,1,158,71608191,0.22064514937962895
1,1-4 years,1-4,425,285248834,0.14899272121126356
2,5-14 years,5-14,436,737079143,0.059152399595168034
3,15-24 years,15-24,32545,764330433,4.257975162948929
4,25-34 years,25-34,71071,737039056,9.642772580561864
5,35-44 years,35-44,78285,765338694,10.228804660437044
6,45-54 years,45-54,83684,762328534,10.977419349752426
7,55-64 years,55-64,38083,597304339,6.375811711623947
8,65-74 years,65-74,6760,386249748,1.7501629541516233
9,75-84 years,75-84,1554,235982089,0.6585245543783621
10,85+ years,85+,708,93237328,0.7593525202695641
