,County,County Code,Deaths,Population,Death Rate
0,"Baldwin County, AL",1003,185,3104213,5.959642588958941
1,"Bibb County, AL",1007,12,397480,3.01901982489685
2,"Blount County, AL",1009,44,997776,4.409807411683584
3,"Calhoun County, AL",1015,12,2074478,0.5784587737252456
4,"Cherokee County, AL",1019,13,455087,2.8565966507502965
5,"Chilton County, AL",1021,16,762939,2.0971532455412554
6,"Coffee County, AL",1031,13,857552,1.5159430565143572
7,"Conecuh County, AL",1035,10,240060,4.165625260351579
8,"Cullman County, AL",1043,24,1431088,1.6770457162662253
9,"Dale County, AL",1045,14,891572,1.5702601696778276
10,"DeKalb County, AL",1049,27,1237877,2.181153701054305
11,"Elmore County, AL",1051,13,1354531,0.9597417851640162
12,"Escambia County, AL",1053,60,683449,8.779001798232203
13,"Etowah County, AL",1055,31,1864778,1.662396274516323
14,"Houston County, AL",1069,30,1750954,1.7133516928485844
15,"Jefferson County, AL",1073,945,11854635,7.971565552208061
16,"Lauderdale County, AL",1077,21,1632135,1.286658272753173
17,"Lawrence County, AL",1079,12,614698,1.9521781427627876
18,"Lee County, AL",1081,18,2418094,0.7443879352911839
19,"Limestone County, AL",1083,24,1404371,1.7089501278508314
20,"Madison County, AL",1089,67,5712479,1.1728708324354453
21,"Mobile County, AL",1097,307,7321586,4.193080570248031
22,"Montgomery County, AL",1101,27,4070088,0.663376320118877
23,"Morgan County, AL",1103,25,2091395,1.1953743793018534
24,"Russell County, AL",1113,17,954636,1.7807834609212307
25,"St. Clair County, AL",1115,61,1394254,4.375099515583244
26,"Shelby County, AL",1117,168,3251987,5.166072312097189
27,"Talladega County, AL",1121,20,1464637,1.3655260655029198
28,"Tallapoosa County, AL",1123,17,742735,2.288837876227726
29,"Tuscaloosa County, AL",1125,84,3331999,2.521009159966735
30,"Walker County, AL",1127,94,1220606,7.7010927359033134
31,"Anchorage Borough, AK",2020,362,5086641,7.116680732923751
32,"Fairbanks North Star Borough, AK",2090,82,1674452,4.897124551793661
33,"Juneau Borough, AK",2110,36,565490,6.3661603211374205
34,"Kenai Peninsula Borough, AK",2122,96,967925,9.918123821577085
35,"Ketchikan Gateway Borough, AK",2130,18,244924,7.349218533095981
36,"Kodiak Island Borough, AK",2150,12,245177,4.894423212617823
37,"Matanuska-Susitna Borough, AK",2170,141,1460037,9.65728950704674
38,"Sitka Borough, AK",2220,10,160074,6.247110711296026
39,"Apache County, AZ",4001,43,1264505,3.4005401323047355
40,"Cochise County, AZ",4003,173,2262980,7.644786962324015
41,"Coconino County, AZ",4005,81,2329878,3.4765768851416254
42,"Gila County, AZ",4007,82,945055,8.67674368158467
43,"Graham County, AZ",4009,49,637527,7.68594898725858
44,"Greenlee County, AZ",4011,10,152594,6.553337614847242
45,"La Paz County, AZ",4012,30,362696,8.271389814059157
46,"Maricopa County, AZ",4013,3883,65870582,5.894892502999291
47,"Mohave County, AZ",4015,327,3391727,9.641106138554193
48,"Navajo County, AZ",4017,84,1883444,4.459914921813445
49,"Pima County, AZ",4019,1643,16943415,9.696982574056056
50,"Pinal County, AZ",4021,280,5426182,5.160166024656011
51,"Santa Cruz County, AZ",4023,30,791699,3.7893189204483018
52,"Yavapai County, AZ",4025,267,3598384,7.419997421064567
53,"Yuma County, AZ",4027,29,3330723,0.8706818309418105
54,"Ashley County, AR",5003,17,402862,4.219807278919332
55,"Baxter County, AR",5005,54,724840,7.449919982340931
56,"Benton County, AR",5007,195,3659138,5.329123963075457
57,"Boone County, AR",5009,37,648068,5.709277421505151
58,"Carroll County, AR",5015,30,481058,6.23625425624353
59,"Cleburne County, AR",5023,14,453632,3.086202031602709
60,"Columbia County, AR",5027,15,446094,3.3625200069940417
61,"Conway County, AR",5029,23,375143,6.1309953804282635
62,"Craighead County, AR",5031,91,1667844,5.456145778621981
63,"Crawford County, AR",5033,102,1060710,9.616200469496846
64,"Crittenden County, AR",5035,34,905065,3.7566362636937676
65,"Drew County, AR",5043,12,334997,3.5821216309399784
66,"Faulkner County, AR",5045,77,1899379,4.053956582651488
67,"Franklin County, AR",5047,20,323323,6.185764699696588
68,"Fulton County, AR",5049,14,217312,6.4423501693417755
69,"Garland County, AR",5051,165,1687076,9.780235152417555
