"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	185	3104213	6.0
	"Bibb County, AL"	"01007"	12	397480	Unreliable
	"Blount County, AL"	"01009"	44	997776	4.4
	"Calhoun County, AL"	"01015"	12	2074478	Unreliable
	"Cherokee County, AL"	"01019"	13	455087	Unreliable
	"Chilton County, AL"	"01021"	16	762939	Unreliable
	"Coffee County, AL"	"01031"	13	857552	Unreliable
	"Conecuh County, AL"	"01035"	10	240060	Unreliable
	"Cullman County, AL"	"01043"	24	1431088	1.7
	"Dale County, AL"	"01045"	14	891572	Unreliable
	"DeKalb County, AL"	"01049"	27	1237877	2.2
	"Elmore County, AL"	"01051"	13	1354531	Unreliable
	"Escambia County, AL"	"01053"	60	683449	8.8
	"Etowah County, AL"	"01055"	31	1864778	1.7
	"Houston County, AL"	"01069"	30	1750954	1.7
	"Jefferson County, AL"	"01073"	945	11854635	8.0
	"Lauderdale County, AL"	"01077"	21	1632135	1.3
	"Lawrence County, AL"	"01079"	12	614698	Unreliable
	"Lee County, AL"	"01081"	18	2418094	Unreliable
	"Limestone County, AL"	"01083"	24	1404371	1.7
	"Madison County, AL"	"01089"	67	5712479	1.2
	"Mobile County, AL"	"01097"	307	7321586	4.2
	"Montgomery County, AL"	"01101"	27	4070088	0.7
	"Morgan County, AL"	"01103"	25	2091395	1.2
	"Russell County, AL"	"01113"	17	954636	Unreliable
	"St. Clair County, AL"	"01115"	61	1394254	4.4
	"Shelby County, AL"	"01117"	168	3251987	5.2
	"Talladega County, AL"	"01121"	20	1464637	1.4
	"Tallapoosa County, AL"	"01123"	17	742735	Unreliable
	"Tuscaloosa County, AL"	"01125"	84	3331999	2.5
	"Walker County, AL"	"01127"	94	1220606	7.7
	"Anchorage Borough, AK"	"02020"	362	5086641	7.1
	"Fairbanks North Star Borough, AK"	"02090"	82	1674452	4.9
	"Juneau Borough, AK"	"02110"	36	565490	6.4
	"Kenai Peninsula Borough, AK"	"02122"	96	967925	9.9
	"Ketchikan Gateway Borough, AK"	"02130"	18	244924	Unreliable
	"Kodiak Island Borough, AK"	"02150"	12	245177	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	141	1460037	9.7
	"Sitka Borough, AK"	"02220"	10	160074	Unreliable
	"Apache County, AZ"	"04001"	43	1264505	3.4
	"Cochise County, AZ"	"04003"	173	2262980	7.6
	"Coconino County, AZ"	"04005"	81	2329878	3.5
	"Gila County, AZ"	"04007"	82	945055	8.7
	"Graham County, AZ"	"04009"	49	637527	7.7
	"Greenlee County, AZ"	"04011"	10	152594	Unreliable
	"La Paz County, AZ"	"04012"	30	362696	8.3
	"Maricopa County, AZ"	"04013"	3883	65870582	5.9
	"Mohave County, AZ"	"04015"	327	3391727	9.6
	"Navajo County, AZ"	"04017"	84	1883444	4.5
	"Pima County, AZ"	"04019"	1643	16943415	9.7
	"Pinal County, AZ"	"04021"	280	5426182	5.2
	"Santa Cruz County, AZ"	"04023"	30	791699	3.8
	"Yavapai County, AZ"	"04025"	267	3598384	7.4
	"Yuma County, AZ"	"04027"	29	3330723	0.9
	"Ashley County, AR"	"05003"	17	402862	Unreliable
	"Baxter County, AR"	"05005"	54	724840	7.4
