,State,Population_1999_x,Violent Crime rate_1999,Murder and nonnegligent manslaughter rate_1999,Legacy rape rate /1_1999,Revised rape rate /2_1999,Robbery rate_1999,Aggravated assault rate_1999,Unnamed: 8_1999,Population_2014_x,Violent Crime rate_2014,Murder and nonnegligent manslaughter rate_2014,Legacy rape rate /1_2014,Revised rape rate /2_2014,Robbery rate_2014,Aggravated assault rate_2014,Unnamed: 8_2014,Violent Crime rate_change,Robbery rate_change,Population_1999_y,Property crime rate_1999,Burglary rate_1999,Larceny-theft rate_1999,Motor vehicle theft rate_1999,Unnamed: 6_1999,Population_2014_y,Property crime rate_2014,Burglary rate_2014,Larceny-theft rate_2014,Motor vehicle theft rate_2014,Unnamed: 6_2014,Property crime rate_change
0,Alabama,4369862,490.2,7.9,34.6,,121.2,326.5,,4849377,427.4,5.7,29.6,41.3,96.9,283.4,,-62.80000000000001,-24.299999999999997,4369862,3922.3,884.4,2737.3,300.6,,4849377,3177.6,819.0,2149.5,209.1,,-744.7000000000003
1,Alaska,619500,630.8,8.4,83.5,,91.4,447.6,,736732,635.8,5.6,75.3,104.7,85.4,440.2,,5.0,-6.0,619500,3728.7,611.3,2688.3,429.1,,736732,2760.0,427.6,2096.4,236.0,,-968.6999999999998
2,Arizona,4778332,551.1,8.0,28.9,,152.5,361.6,,6731484,399.9,4.7,36.6,50.2,92.8,252.1,,-151.20000000000005,-59.7,4778332,5345.0,1034.3,3510.2,800.4,,6731484,3197.5,647.1,2289.1,261.3,,-2147.5
3,Arkansas,2551373,425.2,5.6,27.8,,79.3,312.4,,2966369,480.1,5.6,39.8,59.4,69.1,346.0,,54.900000000000034,-10.200000000000003,2551373,3617.0,850.2,2505.6,261.2,,2966369,3338.0,835.7,2313.5,188.8,,-279.0
4,California,33145121,627.2,6.0,28.2,,181.1,411.7,,38802500,396.1,4.4,21.6,29.7,125.5,236.6,,-231.10000000000002,-55.599999999999994,33145121,3177.8,675.3,1994.2,508.3,,38802500,2441.1,522.3,1527.4,391.3,,-736.7000000000003
5,Colorado,4056133,340.5,4.6,41.4,,75.3,219.2,,5355866,309.1,2.8,39.6,56.7,56.7,192.8,,-31.399999999999977,-18.599999999999994,4056133,3722.8,665.1,2692.9,364.8,,5355866,2530.1,438.2,1857.1,234.8,,-1192.7000000000003
6,Connecticut,3282031,345.6,3.3,19.9,,123.5,198.9,,3596677,236.9,2.4,15.9,21.7,87.8,125.0,,-108.70000000000002,-35.7,3282031,3043.7,588.0,2111.5,344.2,,3596677,1920.4,332.4,1418.1,169.9,,-1123.2999999999997
7,Delaware,753538,734.4,3.2,70.2,,198.0,463.0,,935614,489.1,5.8,26.6,41.3,135.6,306.4,,-245.29999999999995,-62.400000000000006,753538,4103.6,696.0,3003.7,403.8,,935614,2982.0,616.5,2230.1,135.4,,-1121.6000000000004
8,District of Columbia,519000,1627.7,46.4,47.8,,644.3,889.2,,658893,1244.4,15.9,53.4,71.6,530.7,626.1,,-383.29999999999995,-113.59999999999991,519000,6439.3,976.3,4181.3,1281.7,,658893,5182.5,526.0,4082.3,574.1,,-1256.8000000000002
9,Florida,15111244,854.0,5.7,46.3,,211.6,590.5,,19893297,540.5,5.8,30.4,43.0,125.2,366.4,,-313.5,-86.39999999999999,15111244,5351.5,1200.3,3534.5,616.7,,19893297,3415.5,719.9,2481.5,214.0,,-1936.0
