"Part D Drug Utilization and Cost Summary, Calendar Years 2011 - 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,Generic Name,"Claim Count, 2011","Total Spending, 2011","Beneficiary Count, 2011","Total Annual Spending Per User, 2011","Unit Count, 2011","Average Cost Per Unit (Weighted), 2011","Beneficiary Count No LIS, 2011","Average Beneficiary Cost Share No LIS, 2011","Beneficiary Count LIS, 2011","Average Beneficiary Cost Share LIS, 2011","Claim Count, 2012","Total Spending, 2012","Beneficiary Count, 2012","Total Annual Spending Per User, 2012","Unit Count, 2012","Average Cost Per Unit (Weighted), 2012","Beneficiary Count No LIS, 2012","Average Beneficiary Cost Share No LIS, 2012","Beneficiary Count LIS, 2012","Average Beneficiary Cost Share LIS, 2012","Claim Count, 2013","Total Spending, 2013","Beneficiary Count, 2013","Total Annual Spending Per User, 2013","Unit Count, 2013","Average Cost Per Unit (Weighted), 2013","Beneficiary Count No LIS, 2013","Average Beneficiary Cost Share No LIS, 2013","Beneficiary Count LIS, 2013","Average Beneficiary Cost Share LIS, 2013","Claim Count, 2014","Total Spending, 2014","Beneficiary Count, 2014","Total Annual Spending Per User, 2014","Unit Count, 2014","Average Cost Per Unit (Weighted), 2014","Beneficiary Count No LIS, 2014","Average Beneficiary Cost Share No LIS, 2014","Beneficiary Count LIS, 2014","Average Beneficiary Cost Share LIS, 2014","Claim Count, 2015","Total Spending, 2015","Beneficiary Count, 2015","Total Annual Spending Per User, 2015","Unit Count, 2015","Average Cost Per Unit (Weighted), 2015","Beneficiary Count No LIS, 2015","Average Beneficiary Cost Share No LIS, 2015","Beneficiary Count LIS, 2015","Average Beneficiary Cost Share LIS, 2015","Annual Change in Average Cost Per Unit, 2015"
10 WASH ,SULFACETAMIDE SODIUM ,24,"$1,569.19",16,$98.07,"5,170",$0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST TIER UNIFINE PENTIPS ,"PEN NEEDLE, DIABETIC ","2,472","$57,666.73",893,$64.58,"293,160",$0.20,422,$42.35,471,$7.55,"3,486","$75,786.01","1,261",$60.10,"405,484",$0.19,607,$38.24,654,$6.50,"4,413","$95,304.09","1,633",$58.36,"522,780",$0.18,833,$35.62,800,$5.88,"6,788","$150,749.66","2,769",$54.44,"813,255",$0.19,"1,481",$32.14,"1,288",$5.13,"10,749","$257,895.63","5,173",$49.85,"1,335,132",$0.19,"2,878",$27.31,"2,295",$3.99,2%
1ST TIER UNIFINE PENTIPS PLUS ,"PEN NEEDLE, DIABETIC ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,137","$27,282.97",619,$44.08,"137,290",$0.20,313,$23.87,306,$2.62,"2,943","$73,396.65","1,470",$49.93,"369,886",$0.20,710,$28.07,760,$3.51,
60PSE-400GFN-20DM ,GUAIFENESIN/DM/PSEUDOEPHEDRINE ,12,$350.10,11,$31.83,497,$0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-MOP ,METHOXSALEN ,11,"$9,003.26",,,298,$30.21,,,,,,,,,,,,,,,14,"$19,590.75",,,750,$26.12,,,,,,,,,,,,,,,,,,,,,,,,,
A-B OTIC ,ANTIPYRINE/BENZOCAINE ,30,$212.86,29,$7.34,451,$0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABACAVIR ,ABACAVIR SULFATE ,,,,,,,,,,,"20,895","$10,337,212.78","5,618","$1,840.02","1,330,356",$7.77,941,$78.65,"4,677",$0.72,"59,121","$26,923,482.06","8,360","$3,220.51","3,761,037",$7.16,"1,594",$282.05,"6,766",$7.73,"68,259","$27,961,706.56","9,076","$3,080.84","4,341,050",$6.44,"1,870",$263.72,"7,206",$7.37,"69,216","$24,578,834.46","9,319","$2,637.50","4,424,163",$5.56,"2,046",$236.94,"7,273",$6.15,-14%
ABACAVIR-LAMIVUDINE-ZIDOVUDINE ,ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,,,,,,,,,,,,,,,,,,,,,49,"$78,230.03",49,"$1,596.53","3,473",$22.53,14,$44.84,35,$0.23,"12,201","$17,167,220.41","1,821","$9,427.36","766,713",$22.39,388,$825.37,"1,433",$11.77,"12,216","$16,626,213.80","1,621","$10,256.76","759,933",$21.88,377,$945.15,"1,244",$24.19,-2%
ABELCET ,AMPHOTERICIN B LIPID COMPLEX ,363,"$455,566.10",97,"$4,696.56","49,027",$9.29,49,$402.05,48,$6.41,465,"$585,453.65",109,"$5,371.13","59,917",$9.77,61,$561.53,48,$17.96,435,"$582,002.93",130,"$4,476.95","56,574",$10.29,83,$533.82,47,$11.66,419,"$514,240.20",116,"$4,433.11","55,290",$9.30,78,$351.81,38,$4.39,439,"$552,847.75",102,"$5,420.08","47,600",$11.61,68,$303.14,34,$31.55,
ABILIFY ,ARIPIPRAZOLE ,"2,447,965","$1,469,661,103.00","360,675","$4,074.75","77,474,809",$19.22,"57,408",$466.03,"303,267",$23.08,"2,572,031","$1,758,069,618.10","376,604","$4,668.22","82,162,176",$21.67,"66,009",$501.53,"310,595",$21.23,"2,886,837","$2,107,091,535.20","396,764","$5,310.69","86,150,300",$24.71,"79,066",$502.01,"317,698",$21.63,"2,964,075","$2,527,319,031.60","405,160","$6,237.83","88,198,691",$28.97,"78,377",$552.00,"326,783",$19.38,"1,635,610","$1,572,428,342.90","322,582","$4,874.51","47,855,047",$33.12,"53,024",$519.78,"269,558",$16.50,14%
ABILIFY DISCMELT ,ARIPIPRAZOLE ,"4,677","$3,929,705.80",961,"$4,089.18","189,352",$20.75,83,$439.88,878,$22.17,"4,705","$4,529,795.27",915,"$4,950.60","192,616",$23.52,89,$440.76,826,$12.49,"5,033","$5,221,987.76",967,"$5,400.19","193,300",$27.02,74,$493.98,893,$12.99,"5,186","$6,282,391.38",951,"$6,606.09","198,161",$31.70,85,$546.04,866,$10.38,"2,790","$3,735,192.84",742,"$5,033.95","102,764",$36.34,53,$663.65,689,$18.06,
