NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total National Health Expenditures," 27,214 "," 29,138 "," 31,842 "," 34,595 "," 38,394 "," 41,852 "," 46,081 "," 51,565 "," 58,402 "," 65,923 "," 74,563 "," 82,728 "," 92,657 "," 102,809 "," 116,545 "," 133,283 "," 152,742 "," 173,850 "," 195,332 "," 221,528 "," 255,331 "," 296,155 "," 334,044 "," 367,809 "," 404,995 "," 442,900 "," 474,686 "," 516,520 "," 579,278 "," 644,770 "," 721,393 "," 788,062 "," 854,068 "," 916,581 "," 967,219 "," 1,021,635 "," 1,074,409 "," 1,135,224 "," 1,201,451 "," 1,277,700 "," 1,369,125 "," 1,486,158 "," 1,628,624 "," 1,767,567 "," 1,895,724 "," 2,023,744 "," 2,156,158 "," 2,295,307 "," 2,399,121 "," 2,495,414 "," 2,598,823 "," 2,689,349 "," 2,797,260 "," 2,879,008 "," 3,026,157 "," 3,200,815 "," 3,337,248 "
     Out of pocket," 12,949 "," 13,357 "," 14,255 "," 15,311 "," 16,928 "," 18,209 "," 18,594 "," 18,537 "," 20,500 "," 22,601 "," 24,953 "," 26,312 "," 28,646 "," 31,625 "," 34,373 "," 37,262 "," 40,647 "," 44,853 "," 48,016 "," 52,312 "," 58,146 "," 65,355 "," 72,450 "," 78,619 "," 86,500 "," 95,640 "," 103,610 "," 109,652 "," 120,217 "," 126,651 "," 137,882 "," 140,815 "," 143,178 "," 144,098 "," 142,035 "," 144,816 "," 150,354 "," 161,370 "," 176,812 "," 187,575 "," 198,886 "," 206,200 "," 219,273 "," 235,635 "," 248,494 "," 263,815 "," 273,254 "," 290,000 "," 295,184 "," 293,723 "," 299,742 "," 309,973 "," 318,330 "," 325,189 "," 330,068 "," 339,315 "," 352,537 "
     Health Insurance," 7,497 "," 8,236 "," 8,999 "," 9,892 "," 10,971 "," 12,023 "," 15,673 "," 21,109 "," 24,379 "," 27,565 "," 31,763 "," 36,727 "," 42,617 "," 48,027 "," 55,956 "," 66,330 "," 79,068 "," 93,115 "," 106,582 "," 122,739 "," 142,333 "," 167,730 "," 190,651 "," 212,741 "," 237,405 "," 259,273 "," 274,699 "," 300,035 "," 338,282 "," 387,271 "," 439,113 "," 492,308 "," 543,122 "," 593,278 "," 636,746 "," 681,480 "," 722,124 "," 758,320 "," 792,102 "," 845,592 "," 918,957 "," 1,014,390 "," 1,121,517 "," 1,221,745 "," 1,320,086 "," 1,414,078 "," 1,517,387 "," 1,609,250 "," 1,695,968 "," 1,796,424 "," 1,876,922 "," 1,950,187 "," 2,022,904 "," 2,087,804 "," 2,228,136 "," 2,382,770 "," 2,486,842 "
          Private Health Insurance," 5,812 "," 6,468 "," 7,178 "," 7,952 "," 9,052 "," 10,072 "," 10,296 "," 10,452 "," 11,830 "," 13,363 "," 15,499 "," 17,840 "," 20,690 "," 22,994 "," 26,080 "," 30,578 "," 37,425 "," 45,692 "," 52,523 "," 60,955 "," 69,225 "," 81,804 "," 94,227 "," 105,128 "," 119,053 "," 131,311 "," 136,077 "," 149,177 "," 175,829 "," 204,775 "," 233,885 "," 255,092 "," 274,725 "," 295,294 "," 308,218 "," 325,339 "," 343,686 "," 359,553 "," 384,738 "," 417,078 "," 457,978 "," 501,939 "," 560,963 "," 615,138 "," 658,268 "," 701,176 "," 737,122 "," 776,176 "," 802,857 "," 832,906 "," 864,344 "," 898,631 "," 928,211 "," 946,398 "," 999,940 "," 1,068,778 "," 1,123,372 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,842 "," 4,924 "," 6,218 "," 7,045 "," 7,672 "," 8,443 "," 9,325 "," 10,730 "," 13,428 "," 16,336 "," 19,694 "," 22,891 "," 26,668 "," 30,922 "," 37,387 "," 44,769 "," 52,351 "," 59,559 "," 66,207 "," 71,829 "," 76,829 "," 83,081 "," 88,965 "," 101,137 "," 110,182 "," 120,617 "," 135,996 "," 149,965 "," 167,670 "," 184,393 "," 198,750 "," 210,376 "," 209,420 "," 213,173 "," 224,829 "," 247,686 "," 265,381 "," 282,668 "," 311,122 "," 339,762 "," 403,690 "," 432,751 "," 466,971 "," 498,859 "," 519,787 "," 544,679 "," 569,634 "," 590,163 "," 618,889 "," 648,808 "," 672,093 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ," 1,304 "," 3,141 "," 3,541 "," 4,174 "," 5,290 "," 6,695 "," 8,314 "," 9,423 "," 11,073 "," 13,446 "," 15,188 "," 17,464 "," 19,465 "," 22,332 "," 26,032 "," 30,307 "," 32,011 "," 35,266 "," 38,233 "," 40,937 "," 45,383 "," 50,339 "," 55,080 "," 61,952 "," 73,661 "," 93,211 "," 108,186 "," 122,373 "," 134,414 "," 144,862 "," 152,170 "," 160,849 "," 169,011 "," 183,455 "," 200,345 "," 224,092 "," 248,050 "," 268,903 "," 290,679 "," 309,275 "," 306,584 "," 325,746 "," 344,214 "," 374,421 "," 397,226 "," 406,744 "," 422,688 "," 445,361 "," 496,645 "," 544,073 "," 565,550 "
                          Federal  , -   , -   , -   , -   , -   , -   , 632 ," 1,525 "," 1,835 "," 2,298 "," 2,842 "," 3,810 "," 4,547 "," 4,933 "," 6,277 "," 7,409 "," 9,153 "," 9,896 "," 10,919 "," 12,705 "," 14,521 "," 16,902 "," 17,843 "," 19,587 "," 21,096 "," 22,594 "," 25,187 "," 27,868 "," 30,995 "," 35,077 "," 42,607 "," 56,847 "," 68,602 "," 76,961 "," 81,052 "," 85,945 "," 91,099 "," 94,954 "," 98,648 "," 107,143 "," 116,821 "," 132,186 "," 145,221 "," 160,753 "," 172,273 "," 177,461 "," 173,879 "," 185,485 "," 203,084 "," 247,326 "," 266,360 "," 247,125 "," 243,251 "," 256,907 "," 305,106 "," 343,123 "," 358,095 "
                          State and Local, -   , -   , -   , -   , -   , -   , 672 ," 1,616 "," 1,707 "," 1,877 "," 2,447 "," 2,886 "," 3,766 "," 4,490 "," 4,797 "," 6,037 "," 6,036 "," 7,568 "," 8,547 "," 9,627 "," 11,511 "," 13,405 "," 14,168 "," 15,679 "," 17,137 "," 18,343 "," 20,196 "," 22,471 "," 24,085 "," 26,876 "," 31,054 "," 36,364 "," 39,585 "," 45,412 "," 53,363 "," 58,917 "," 61,071 "," 65,896 "," 70,363 "," 76,312 "," 83,524 "," 91,906 "," 102,829 "," 108,150 "," 118,407 "," 131,814 "," 132,705 "," 140,261 "," 141,129 "," 127,094 "," 130,865 "," 159,619 "," 179,438 "," 188,454 "," 191,540 "," 200,951 "," 207,454 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 399 ," 1,723 "," 3,012 "," 4,167 "," 5,485 "," 6,296 "," 7,167 "," 7,566 "," 8,366 "," 9,117 "," 10,210 "," 11,106 "," 11,540 "," 11,990 "," 12,629 "," 13,509 "," 13,215 "," 14,853 "," 16,883 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 276 ," 1,199 "," 2,097 "," 2,913 "," 3,832 "," 4,410 "," 4,982 "," 5,254 "," 5,756 "," 6,316 "," 7,126 "," 7,812 "," 8,052 "," 8,377 "," 8,780 "," 9,362 "," 9,217 "," 11,106 "," 15,309 "
