Notes,Year,Year Code,State,State Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate,Crude Rate Standard Error,% of Total Deaths
Total,1999,1999,Alabama,1,Female,F,,,21,2293259,0.9,0.2,0
,1999,1999,Alabama,1,Male,M,25-34 years,25-34,11,300073,Unreliable,1.1,0
,1999,1999,Alabama,1,Male,M,35-44 years,35-44,12,335631,Unreliable,1,0
Total,1999,1999,Alabama,1,Male,M,,,33,2136882,1.5,0.3,0
Total,1999,1999,Alabama,1,,,,,54,4430141,1.2,0.2,0
Total,1999,1999,Alaska,2,Female,F,,,15,301266,Unreliable,1.3,0
Total,1999,1999,Alaska,2,Male,M,,,19,323513,Unreliable,1.3,0
Total,1999,1999,Alaska,2,,,,,34,624779,5.4,0.9,0
,1999,1999,Arizona,4,Female,F,25-34 years,25-34,16,354781,Unreliable,1.1,0
,1999,1999,Arizona,4,Female,F,35-44 years,35-44,22,376826,5.8,1.2,0
,1999,1999,Arizona,4,Female,F,45-54 years,45-54,15,308541,Unreliable,1.3,0
Total,1999,1999,Arizona,4,Female,F,,,69,2518299,2.7,0.3,0
,1999,1999,Arizona,4,Male,M,15-24 years,15-24,15,371056,Unreliable,1,0
,1999,1999,Arizona,4,Male,M,25-34 years,25-34,54,383757,14.1,1.9,0
,1999,1999,Arizona,4,Male,M,35-44 years,35-44,94,384610,24.4,2.5,0
,1999,1999,Arizona,4,Male,M,45-54 years,45-54,73,296226,24.6,2.9,0
Total,1999,1999,Arizona,4,Male,M,,,246,2505524,9.8,0.6,0.001
Total,1999,1999,Arizona,4,,,,,315,5023823,6.3,0.4,0.001
Total,1999,1999,Arkansas,5,Female,F,,,10,1359445,Unreliable,0.2,0
,1999,1999,Arkansas,5,Male,M,35-44 years,35-44,10,195273,Unreliable,1.6,0
Total,1999,1999,Arkansas,5,Male,M,,,25,1292415,1.9,0.4,0
Total,1999,1999,Arkansas,5,,,,,35,2651860,1.3,0.2,0
,1999,1999,California,6,Female,F,15-24 years,15-24,13,2250560,Unreliable,0.2,0
,1999,1999,California,6,Female,F,25-34 years,25-34,59,2559586,2.3,0.3,0
,1999,1999,California,6,Female,F,35-44 years,35-44,158,2701239,5.8,0.5,0
,1999,1999,California,6,Female,F,45-54 years,45-54,108,2124931,5.1,0.5,0
,1999,1999,California,6,Female,F,55-64 years,55-64,25,1319908,1.9,0.4,0
,1999,1999,California,6,Female,F,65-74 years,65-74,10,1032910,Unreliable,0.3,0
Total,1999,1999,California,6,Female,F,,,381,16800161,2.3,0.1,0.001
,1999,1999,California,6,Male,M,15-24 years,15-24,70,2455726,2.9,0.3,0
,1999,1999,California,6,Male,M,25-34 years,25-34,242,2718957,8.9,0.6,0.001
,1999,1999,California,6,Male,M,35-44 years,35-44,487,2760947,17.6,0.8,0.001
,1999,1999,California,6,Male,M,45-54 years,45-54,397,2064379,19.2,1,0.001
,1999,1999,California,6,Male,M,55-64 years,55-64,92,1223139,7.5,0.8,0
,1999,1999,California,6,Male,M,65-74 years,65-74,20,855094,2.3,0.5,0
Total,1999,1999,California,6,Male,M,,,1315,16699043,7.9,0.2,0.004
Total,1999,1999,California,6,,,,,1696,33499204,5.1,0.1,0.005
